しかし…こんなもん見て喜ぶのこいつだけだよなーｲﾗﾈｰ,言えてるわ…ほら、こんなこと言ってる間にも鼻血出してる
スッゲー幸せそうだな…,なんか…私たちの身近って気持ち悪い奴多いわね…あぁ…この写真見たら鼻血どころじゃないんじゃないの
ん？,はっ！
お嬢様の寝込みを襲う前に、メイドの私を片付けておこうという作戦ね,なんか、すっごい誤解してない？
おもしれぇ、かかってこ,これを見なさい！
うぅっ！こ…これは…お、お嬢様のヌード写真！？,ほーら、ほら。こっちにも。こっちにも。こっちにも。あるわよ～
ち、血の海なんだぜー！,やっぱり、プレゼントとしてじゃなくて、ああいう使い方をするのが、正しいようね
ま、私としてはあのまま暴れても良かったんだがなぁ…,嫌よ。めんどくさい。こんな夜中に体力使いたくないわ
つまんねえの。で、次は月の医者か,ま、役立たずな薬が多いとはいえ、何気に助けてもらってるしね
でもよぉ、あの医者寝てるイメージあんまりないんだよなぁ,確かにね。までも、流石にこんな時間だもの。寝てるわよ
すぅー…すぅー…すぅー…すぅー…,ほら、ぐっすり眠ってる
しっかし…薬臭い部屋だなぁ…,確かに。頭痛くなるわ。どんな薬作ってるのよ
なんか泣き出したぞ,悪い夢でも見てるんじゃないの
どうして…自宅の警備ばかり…私の苦労も知らないで…,あぁ、あのヒキコモリのことね
さ、プレゼントを置いてさっさと出ようぜ。薬臭くってたまんないぜ,そうね
えっと、これだな。お、やっとまともなプレゼントだな,まあね。貰い物のお菓子だけど。賞味期限は知らないわ。ずっと家にあったもの
まあ、食えればいいだろ,そうね。さ、とっとと置いて
ちょうど風邪薬切らしてたんだ。これも貰っていこ―♪,ちょっとあんたまた盗む気？私は知らないわよ
ちょっとぐらい分かんないって。いつか返すし,ほら、ばれないうちにとっとと帰るわよ
いやぁ、大漁♪大漁♪,もう、プレゼントするどころか逆に貰って来てどうすんのよ
細かいこと気にすんなって。さ、最後はこーりんだな,うーん…霖之助さんって、寝てる時にもふんどし姿なのかしら？
いやぁそれは流石にないだろ…もしそうだったらあいつは完全に変態だな,うわ…意外と、散らかってるわね。ぅぅん…意味の分かんない壺とかたくさんあるし
よくこんな部屋で生活できるよな,あんたも人のこと言えないでしょ
さーて、こーりんはどこだー？,はぁ…まったく…ぅーん…ぅーん
いない…,あ！魔理沙！後ろ！
こ…こーりん…,なんで起きてるのよ…しかもこんな時間に…
いっそのことサンタクロースに変装して、プレゼントでも配ろうかと思っていたのさ,上は…サンタ服で…下は…ふんどし…
今日は一段と寂しい…よし、ならばこの森近霖之助が温めてしんぜよう！,なぜ脱ぐ
がぁぶっ,ふざけんな変態野郎
ふざけんな変態野郎,適当にプレゼント置いて、さっさと帰りましょ
適当にプレゼント置いて、さっさと帰りましょ,はーあ…疲れた。もう来年からはこんなめんどくさいことやめにしましょ
早いなおい,魔理沙、だいたいあんたがあんなこと言わなかったらこんなめんどなこと、しなくて済んだのよ
なんだよ私のせいかよ。一番やる気になってたのはお前だろ。私は巻き込まれただけだ,あーはいはいはいはい。もう、さっさと帰って寝ましょう
おい無視すんな！,結局、あんんんなにも苦労して霊夢様がプレゼント配ったっていうのに！
結局、あんんんなにも苦労して霊夢様がプレゼント配ったっていうのに！,はぁ…お賽銭箱は空っぽ
アリスからは家の修理の請求書というプレゼント貰っちまうし,あれはあんたのせいなんだから。あんたが払いなさいよ
はぁ？なんで私が！,それとも、あんたの家にでも住まわせてあげれば？
な…な、な、な、なんでそうなるんだよ。それはそれでいいけど…,しかも、そんなもん払ってたら破産しちゃうわ。私は宴会の準備で相当お金使ってるのよ
ま、今年も安泰だな。霊夢の家でパーッと宴会。今年も飲むぜぇ,ほら、ボーッとしてないで。あんたも手伝いなさいよ。みんな来ちゃうわよ
返してもらうしかないわ…姫様～…,はぁ…気がつけばもう12月24日
東方Project,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
艦これ,はぁ…気がつけばもう12月24日
東方Project,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
(BOS),地底に新しいレストランができたですって？
どうやら地霊殿の連中がはじめたらしいんだ,へぇ、あいつらも暇ね
取材にいった文の話によると他では味わえない地底の料理がたくさん食べられるそうだぜ,なんか変なもの食わされるんじゃないでしょうね
文は腹が膨れるほど食べたって言ってたけどな。しかも初回はただで食えるらしい,……地底に行くわよ、魔理沙
邪魔するぜ,文から話は聞いたわ。今日はお腹いっぱい食べるわよ
私たちは食通を自称しているんだが、もう地上にある美味といわれるものはもうすべて食べつくしちゃったんだぜ。なあ霊夢？,あんたいつから美食家になったのよ
でも霊夢も並の料理じゃ満足しないだろ？,そうね。期待しておくわ
わかったぜ,なによそれ、なんかまずい物でも出すのかしら？
冷やかしはお断りということです。こちらも一応商売でやっているので,変なもの出したら承知しないわよ
味についてはご期待ください。それだけにお残しは一切禁止とさせて頂きます。  　　　　もし残した場合は、ペナルティがありますので、そのつもりでお願いします。  　　　　最後になりますが、先程も言いました様に、ここでの事は一切他言無用でお願いします。  　　　　もしうっかり口を滑らせる様な事があれば、その時は命に関わる事になりますので、お願いしますね,どこまで秘密主義なのよ
おっ、本格的だな,早速いただくわよ
なかなかいけるな,でもやけに黄色くない？
これはうまそうだな。この赤っぽいソースは見たことないぜ,悪くないわね。ソースはちょっと鉄っぽい味がするけど
あぁ、だから道理で……っておい！,どっかの館でも似たようなことしてたけどあっちは新鮮なものらしいわよ？
前菜の方はどの様なお味でしたか？,そ、そうね、地底で新鮮な野菜が味わえるとは思わなかったわ
お待たせしました。次はメインのハンバーグで御座います。当店特製のソースの味を存分にご堪能下さい,ソースはもしかして、さっきの野菜スティックにつけた奴の残りを？
お味の方はいかがでしょうか,ひ、久々に食べたお肉だから美味しいわ
ひ、久々に食べたお肉だから美味しいわ,そちらのお姉さんはフォークの進みがちょっと遅いけど
完食されたようですね,次は何かしら？
察しがいいみたいですね。そうです、この麺は取りたての土蜘蛛の糸ですよ,ち、地底ならではの料理ね、早速いただくわよ
二人とも、大切なお客様ですから無礼がないようにね,オイシイワ……オイシイワ……
いよいよ最後のデザートですね。デザートは妹のこいしが作りました,これは……クリームプリンね？
えへへ、うまくできてるといいな,いつの間に
これはペナルティを覚悟しておいてくださいね……,食べたわよ……
うふふふふふふ,帰ってもいいかしら？
いいえ、幾つか当店の約束事を破ろうとしていましたね。このまま帰す訳にはいきませんね。ペナルティを受けて頂きます,ちょ、冗談じゃないわよ！私はもう帰るわ！
二人には当店の裏メニューを心ゆくまで堪能してもらおうかしらね……,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
出世欲,地底に新しいレストランができたですって？
どうやら地霊殿の連中がはじめたらしいんだ,へぇ、あいつらも暇ね
取材にいった文の話によると他では味わえない地底の料理がたくさん食べられるそうだぜ,なんか変なもの食わされるんじゃないでしょうね
文は腹が膨れるほど食べたって言ってたけどな。しかも初回はただで食えるらしい,……地底に行くわよ、魔理沙
邪魔するぜ,文から話は聞いたわ。今日はお腹いっぱい食べるわよ
私たちは食通を自称しているんだが、もう地上にある美味といわれるものはもうすべて食べつくしちゃったんだぜ。なあ霊夢？,あんたいつから美食家になったのよ
でも霊夢も並の料理じゃ満足しないだろ？,そうね。期待しておくわ
わかったぜ,なによそれ、なんかまずい物でも出すのかしら？
冷やかしはお断りということです。こちらも一応商売でやっているので,変なもの出したら承知しないわよ
味についてはご期待ください。それだけにお残しは一切禁止とさせて頂きます。  　　　　もし残した場合は、ペナルティがありますので、そのつもりでお願いします。  　　　　最後になりますが、先程も言いました様に、ここでの事は一切他言無用でお願いします。  　　　　もしうっかり口を滑らせる様な事があれば、その時は命に関わる事になりますので、お願いしますね,どこまで秘密主義なのよ
おっ、本格的だな,早速いただくわよ
なかなかいけるな,でもやけに黄色くない？
これはうまそうだな。この赤っぽいソースは見たことないぜ,悪くないわね。ソースはちょっと鉄っぽい味がするけど
あぁ、だから道理で……っておい！,どっかの館でも似たようなことしてたけどあっちは新鮮なものらしいわよ？
前菜の方はどの様なお味でしたか？,そ、そうね、地底で新鮮な野菜が味わえるとは思わなかったわ
お待たせしました。次はメインのハンバーグで御座います。当店特製のソースの味を存分にご堪能下さい,ソースはもしかして、さっきの野菜スティックにつけた奴の残りを？
お味の方はいかがでしょうか,ひ、久々に食べたお肉だから美味しいわ
ひ、久々に食べたお肉だから美味しいわ,そちらのお姉さんはフォークの進みがちょっと遅いけど
完食されたようですね,次は何かしら？
察しがいいみたいですね。そうです、この麺は取りたての土蜘蛛の糸ですよ,ち、地底ならではの料理ね、早速いただくわよ
二人とも、大切なお客様ですから無礼がないようにね,オイシイワ……オイシイワ……
いよいよ最後のデザートですね。デザートは妹のこいしが作りました,これは……クリームプリンね？
えへへ、うまくできてるといいな,いつの間に
これはペナルティを覚悟しておいてくださいね……,食べたわよ……
うふふふふふふ,帰ってもいいかしら？
いいえ、幾つか当店の約束事を破ろうとしていましたね。このまま帰す訳にはいきませんね。ペナルティを受けて頂きます,ちょ、冗談じゃないわよ！私はもう帰るわ！
二人には当店の裏メニューを心ゆくまで堪能してもらおうかしらね……,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
出世欲,地底に新しいレストランができたですって？
どうやら地霊殿の連中がはじめたらしいんだ,へぇ、あいつらも暇ね
取材にいった文の話によると他では味わえない地底の料理がたくさん食べられるそうだぜ,なんか変なもの食わされるんじゃないでしょうね
文は腹が膨れるほど食べたって言ってたけどな。しかも初回はただで食えるらしい,……地底に行くわよ、魔理沙
邪魔するぜ,文から話は聞いたわ。今日はお腹いっぱい食べるわよ
私たちは食通を自称しているんだが、もう地上にある美味といわれるものはもうすべて食べつくしちゃったんだぜ。なあ霊夢？,あんたいつから美食家になったのよ
でも霊夢も並の料理じゃ満足しないだろ？,そうね。期待しておくわ
わかったぜ,なによそれ、なんかまずい物でも出すのかしら？
冷やかしはお断りということです。こちらも一応商売でやっているので,変なもの出したら承知しないわよ
味についてはご期待ください。それだけにお残しは一切禁止とさせて頂きます。  　　　　もし残した場合は、ペナルティがありますので、そのつもりでお願いします。  　　　　最後になりますが、先程も言いました様に、ここでの事は一切他言無用でお願いします。  　　　　もしうっかり口を滑らせる様な事があれば、その時は命に関わる事になりますので、お願いしますね,どこまで秘密主義なのよ
おっ、本格的だな,早速いただくわよ
なかなかいけるな,でもやけに黄色くない？
これはうまそうだな。この赤っぽいソースは見たことないぜ,悪くないわね。ソースはちょっと鉄っぽい味がするけど
あぁ、だから道理で……っておい！,どっかの館でも似たようなことしてたけどあっちは新鮮なものらしいわよ？
前菜の方はどの様なお味でしたか？,そ、そうね、地底で新鮮な野菜が味わえるとは思わなかったわ
お待たせしました。次はメインのハンバーグで御座います。当店特製のソースの味を存分にご堪能下さい,ソースはもしかして、さっきの野菜スティックにつけた奴の残りを？
お味の方はいかがでしょうか,ひ、久々に食べたお肉だから美味しいわ
ひ、久々に食べたお肉だから美味しいわ,そちらのお姉さんはフォークの進みがちょっと遅いけど
完食されたようですね,次は何かしら？
察しがいいみたいですね。そうです、この麺は取りたての土蜘蛛の糸ですよ,ち、地底ならではの料理ね、早速いただくわよ
二人とも、大切なお客様ですから無礼がないようにね,オイシイワ……オイシイワ……
いよいよ最後のデザートですね。デザートは妹のこいしが作りました,これは……クリームプリンね？
えへへ、うまくできてるといいな,いつの間に
これはペナルティを覚悟しておいてくださいね……,食べたわよ……
うふふふふふふ,帰ってもいいかしら？
いいえ、幾つか当店の約束事を破ろうとしていましたね。このまま帰す訳にはいきませんね。ペナルティを受けて頂きます,ちょ、冗談じゃないわよ！私はもう帰るわ！
二人には当店の裏メニューを心ゆくまで堪能してもらおうかしらね……,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
今日から新しく仲間になったサバイバーさんです,地底に新しいレストランができたですって？
どうやら地霊殿の連中がはじめたらしいんだ,へぇ、あいつらも暇ね
取材にいった文の話によると他では味わえない地底の料理がたくさん食べられるそうだぜ,なんか変なもの食わされるんじゃないでしょうね
文は腹が膨れるほど食べたって言ってたけどな。しかも初回はただで食えるらしい,……地底に行くわよ、魔理沙
邪魔するぜ,文から話は聞いたわ。今日はお腹いっぱい食べるわよ
私たちは食通を自称しているんだが、もう地上にある美味といわれるものはもうすべて食べつくしちゃったんだぜ。なあ霊夢？,あんたいつから美食家になったのよ
でも霊夢も並の料理じゃ満足しないだろ？,そうね。期待しておくわ
わかったぜ,なによそれ、なんかまずい物でも出すのかしら？
冷やかしはお断りということです。こちらも一応商売でやっているので,変なもの出したら承知しないわよ
味についてはご期待ください。それだけにお残しは一切禁止とさせて頂きます。  　　　　もし残した場合は、ペナルティがありますので、そのつもりでお願いします。  　　　　最後になりますが、先程も言いました様に、ここでの事は一切他言無用でお願いします。  　　　　もしうっかり口を滑らせる様な事があれば、その時は命に関わる事になりますので、お願いしますね,どこまで秘密主義なのよ
おっ、本格的だな,早速いただくわよ
なかなかいけるな,でもやけに黄色くない？
これはうまそうだな。この赤っぽいソースは見たことないぜ,悪くないわね。ソースはちょっと鉄っぽい味がするけど
あぁ、だから道理で……っておい！,どっかの館でも似たようなことしてたけどあっちは新鮮なものらしいわよ？
前菜の方はどの様なお味でしたか？,そ、そうね、地底で新鮮な野菜が味わえるとは思わなかったわ
お待たせしました。次はメインのハンバーグで御座います。当店特製のソースの味を存分にご堪能下さい,ソースはもしかして、さっきの野菜スティックにつけた奴の残りを？
お味の方はいかがでしょうか,ひ、久々に食べたお肉だから美味しいわ
ひ、久々に食べたお肉だから美味しいわ,そちらのお姉さんはフォークの進みがちょっと遅いけど
完食されたようですね,次は何かしら？
察しがいいみたいですね。そうです、この麺は取りたての土蜘蛛の糸ですよ,ち、地底ならではの料理ね、早速いただくわよ
二人とも、大切なお客様ですから無礼がないようにね,オイシイワ……オイシイワ……
いよいよ最後のデザートですね。デザートは妹のこいしが作りました,これは……クリームプリンね？
えへへ、うまくできてるといいな,いつの間に
これはペナルティを覚悟しておいてくださいね……,食べたわよ……
うふふふふふふ,帰ってもいいかしら？
いいえ、幾つか当店の約束事を破ろうとしていましたね。このまま帰す訳にはいきませんね。ペナルティを受けて頂きます,ちょ、冗談じゃないわよ！私はもう帰るわ！
二人には当店の裏メニューを心ゆくまで堪能してもらおうかしらね……,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
すみません、アマゾンは大丈夫ですか,地底に新しいレストランができたですって？
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
東方Project,（ずずずっずぞぞぞぞ～）
む。トイレトイレ…,はぁ…気がつけばもう12月24日
(BOS),（ずずずっずぞぞぞぞ～）
（ずずずっずぞぞぞぞ～）,ぷはー
ぷはー,今日もイイ天気
あ、霊夢。またサボり？,休憩中よ
神社閉店の日,くぉら！
きゃっ！,……あ～、アンタたち、ホントに仲いいわね…
そうそう、今日は霊夢のために、お土産を持って来たのよ！,あら、ありがとう。それじゃあお茶を用意するわね
フフフ、ありがとう魔理沙,ホントに美味しいわね。
ホントに美味しいわね。,でも、作るのはいつもアリスね。……魔理沙が作ったりとかしないの？
あら？魔理沙が作ったお菓子なんて食べたことあったかしら？,アリスが食べたことなかったら誰も食べたこと無いんじゃない？
あーっ……,わたしもあげたけど、お返し無いわね～……義理だけど
ホワイトデイ！ごめん！！忘れてた！そこでだアリス！悪いがもう少しだけ、追加で待っててくれないか？待っていたらたぶん、魔理沙さんの素敵なプレゼントが先着1名様にもれなく配られることになるはずだ！たぶん！,先着1名……私には無いのね
霊夢はたくましく生きていてくれ！,ちょっと待て！！！
では諸君っ！さらばだー！！,恋する乙女のパワーは凄いわね～
え！恋なんて……そんな、もう！霊夢ったら……ばかぁ～,はいはい、ごちそうさまでした
お粗末さまでした（ペコリ）,……
……,あーっ……、でも魔理沙がお返しを忘れてたとはねー
いいのよそんなこと。私は魔理沙といっしょにいるだけで幸せを感じられるんだから,はいはい、ごちそうさま
霊夢ぅ～、客か？,アリスよ
イカスミ焼き？,お菓子よ！この酒飲みが！
あっ……まい！！,お菓子だからね
はい！霊夢も,えっ！？わっ、ちょっ……（ハグ）……おいしい。じゃ   あ、アリスにも。（クイッ）
わたしも食べさせる～,おまえら……
なんなんだー？うん？……あっ,お、来たみたいね
……アリス～,おや？
これ……,ハートが見事に割れてるわね
ごめんな、こんなプレゼントで。ハート型、がんばったんだけどね、ハートのクッキーを、アリスに食べさせたかった……,魔理沙……
……わたしで毒見させるな！させるなら霊夢にしろ！,待てコラガキ！
アハハハハハハッ☆,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
出世欲,（ずずずっずぞぞぞぞ～）
（ずずずっずぞぞぞぞ～）,ぷはー
ぷはー,今日もイイ天気
あ、霊夢。またサボり？,休憩中よ
神社閉店の日,くぉら！
きゃっ！,……あ～、アンタたち、ホントに仲いいわね…
そうそう、今日は霊夢のために、お土産を持って来たのよ！,あら、ありがとう。それじゃあお茶を用意するわね
フフフ、ありがとう魔理沙,ホントに美味しいわね。
ホントに美味しいわね。,でも、作るのはいつもアリスね。……魔理沙が作ったりとかしないの？
あら？魔理沙が作ったお菓子なんて食べたことあったかしら？,アリスが食べたことなかったら誰も食べたこと無いんじゃない？
あーっ……,わたしもあげたけど、お返し無いわね～……義理だけど
ホワイトデイ！ごめん！！忘れてた！そこでだアリス！悪いがもう少しだけ、追加で待っててくれないか？待っていたらたぶん、魔理沙さんの素敵なプレゼントが先着1名様にもれなく配られることになるはずだ！たぶん！,先着1名……私には無いのね
霊夢はたくましく生きていてくれ！,ちょっと待て！！！
では諸君っ！さらばだー！！,恋する乙女のパワーは凄いわね～
え！恋なんて……そんな、もう！霊夢ったら……ばかぁ～,はいはい、ごちそうさまでした
お粗末さまでした（ペコリ）,……
……,あーっ……、でも魔理沙がお返しを忘れてたとはねー
いいのよそんなこと。私は魔理沙といっしょにいるだけで幸せを感じられるんだから,はいはい、ごちそうさま
霊夢ぅ～、客か？,アリスよ
イカスミ焼き？,お菓子よ！この酒飲みが！
あっ……まい！！,お菓子だからね
はい！霊夢も,えっ！？わっ、ちょっ……（ハグ）……おいしい。じゃ   あ、アリスにも。（クイッ）
わたしも食べさせる～,おまえら……
なんなんだー？うん？……あっ,お、来たみたいね
……アリス～,おや？
これ……,ハートが見事に割れてるわね
ごめんな、こんなプレゼントで。ハート型、がんばったんだけどね、ハートのクッキーを、アリスに食べさせたかった……,魔理沙……
……わたしで毒見させるな！させるなら霊夢にしろ！,待てコラガキ！
アハハハハハハッ☆,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
出世欲,（ずずずっずぞぞぞぞ～）
（ずずずっずぞぞぞぞ～）,ぷはー
ぷはー,今日もイイ天気
あ、霊夢。またサボり？,休憩中よ
神社閉店の日,くぉら！
きゃっ！,……あ～、アンタたち、ホントに仲いいわね…
そうそう、今日は霊夢のために、お土産を持って来たのよ！,あら、ありがとう。それじゃあお茶を用意するわね
フフフ、ありがとう魔理沙,ホントに美味しいわね。
ホントに美味しいわね。,でも、作るのはいつもアリスね。……魔理沙が作ったりとかしないの？
あら？魔理沙が作ったお菓子なんて食べたことあったかしら？,アリスが食べたことなかったら誰も食べたこと無いんじゃない？
あーっ……,わたしもあげたけど、お返し無いわね～……義理だけど
ホワイトデイ！ごめん！！忘れてた！そこでだアリス！悪いがもう少しだけ、追加で待っててくれないか？待っていたらたぶん、魔理沙さんの素敵なプレゼントが先着1名様にもれなく配られることになるはずだ！たぶん！,先着1名……私には無いのね
霊夢はたくましく生きていてくれ！,ちょっと待て！！！
では諸君っ！さらばだー！！,恋する乙女のパワーは凄いわね～
え！恋なんて……そんな、もう！霊夢ったら……ばかぁ～,はいはい、ごちそうさまでした
お粗末さまでした（ペコリ）,……
……,あーっ……、でも魔理沙がお返しを忘れてたとはねー
いいのよそんなこと。私は魔理沙といっしょにいるだけで幸せを感じられるんだから,はいはい、ごちそうさま
霊夢ぅ～、客か？,アリスよ
イカスミ焼き？,お菓子よ！この酒飲みが！
あっ……まい！！,お菓子だからね
はい！霊夢も,えっ！？わっ、ちょっ……（ハグ）……おいしい。じゃ   あ、アリスにも。（クイッ）
わたしも食べさせる～,おまえら……
なんなんだー？うん？……あっ,お、来たみたいね
……アリス～,おや？
これ……,ハートが見事に割れてるわね
ごめんな、こんなプレゼントで。ハート型、がんばったんだけどね、ハートのクッキーを、アリスに食べさせたかった……,魔理沙……
……わたしで毒見させるな！させるなら霊夢にしろ！,待てコラガキ！
アハハハハハハッ☆,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
ほう…私が禁書キャラと戦うスッドレですか,（ずずずっずぞぞぞぞ～）
（ずずずっずぞぞぞぞ～）,ぷはー
ぷはー,今日もイイ天気
あ、霊夢。またサボり？,休憩中よ
神社閉店の日,くぉら！
きゃっ！,……あ～、アンタたち、ホントに仲いいわね…
そうそう、今日は霊夢のために、お土産を持って来たのよ！,あら、ありがとう。それじゃあお茶を用意するわね
フフフ、ありがとう魔理沙,ホントに美味しいわね。
ホントに美味しいわね。,でも、作るのはいつもアリスね。……魔理沙が作ったりとかしないの？
あら？魔理沙が作ったお菓子なんて食べたことあったかしら？,アリスが食べたことなかったら誰も食べたこと無いんじゃない？
あーっ……,わたしもあげたけど、お返し無いわね～……義理だけど
ホワイトデイ！ごめん！！忘れてた！そこでだアリス！悪いがもう少しだけ、追加で待っててくれないか？待っていたらたぶん、魔理沙さんの素敵なプレゼントが先着1名様にもれなく配られることになるはずだ！たぶん！,先着1名……私には無いのね
霊夢はたくましく生きていてくれ！,ちょっと待て！！！
では諸君っ！さらばだー！！,恋する乙女のパワーは凄いわね～
え！恋なんて……そんな、もう！霊夢ったら……ばかぁ～,はいはい、ごちそうさまでした
お粗末さまでした（ペコリ）,……
……,あーっ……、でも魔理沙がお返しを忘れてたとはねー
いいのよそんなこと。私は魔理沙といっしょにいるだけで幸せを感じられるんだから,はいはい、ごちそうさま
霊夢ぅ～、客か？,アリスよ
イカスミ焼き？,お菓子よ！この酒飲みが！
あっ……まい！！,お菓子だからね
はい！霊夢も,えっ！？わっ、ちょっ……（ハグ）……おいしい。じゃ   あ、アリスにも。（クイッ）
わたしも食べさせる～,おまえら……
なんなんだー？うん？……あっ,お、来たみたいね
……アリス～,おや？
これ……,ハートが見事に割れてるわね
ごめんな、こんなプレゼントで。ハート型、がんばったんだけどね、ハートのクッキーを、アリスに食べさせたかった……,魔理沙……
……わたしで毒見させるな！させるなら霊夢にしろ！,待てコラガキ！
アハハハハハハッ☆,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
艦これ,（ずずずっずぞぞぞぞ～）
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
橙におつかいを任せる、ですか？,地底に新しいレストランができたですって？
む。トイレトイレ…,はぁ…気がつけばもう12月24日
(BOS),ここは幻想郷。あんた誰よ
ここは幻想郷。あんた誰よ,……森がざわついているわね
……森がざわついているわね,っ！？ これは一体……
っ！？ これは一体……,ここは幻想郷。あんた誰よ
ここは幻想郷。あんた誰よ,……見慣れない格好だけど、外から来たのね？
……見慣れない格好だけど、外から来たのね？,そうね。ここは幻想郷。外の世界で忘れられたものが最後に行き着く場所
そうね。ここは幻想郷。外の世界で忘れられたものが最後に行き着く場所,これは事実（ノンフィクション）よ
これは事実（ノンフィクション）よ,嫌々ながらそういうことになるわね。大方紫のヤツが飛ばしたんでしょ。だとしたらこれは幻想郷（こちら）側の責任になるしね
嫌々ながらそういうことになるわね。大方紫のヤツが飛ばしたんでしょ。だとしたらこれは幻想郷（こちら）側の責任になるしね,殴るわよ
殴るわよ,それはそれで殴るわよ
それはそれで殴るわよ,博麗霊夢。霊夢でいいわ。とりあえず神社に向かいましょう
博麗霊夢。霊夢でいいわ。とりあえず神社に向かいましょう,ほんの2,3里先よ
ほんの2,3里先よ,なら足に捉まりなさい。覗いたら落とすけど
なら足に捉まりなさい。覗いたら落とすけど,ほんの5分じゃない
ほんの5分じゃない,嘘吐きね
嘘吐きね,はぁ……それで、服の替えとかはどうするの？ うちには男物の服も、買う無駄なお金もないわよ
はぁ……それで、服の替えとかはどうするの？ うちには男物の服も、買う無駄なお金もないわよ,……凄いわね。私の空を飛ぶ程度の能力と取り替えて欲しいくらいだわ
……凄いわね。私の空を飛ぶ程度の能力と取り替えて欲しいくらいだわ,で、どんな能力なの？
で、どんな能力なの？,ありとあらゆるもの……紫の境界を操る程度の能力くらい強いわね
ありとあらゆるもの……紫の境界を操る程度の能力くらい強いわね,……まぁいいわ。とりあえず入りなさい
……まぁいいわ。とりあえず入りなさい,広すぎるけどね
広すぎるけどね,殴るわよ
殴るわよ,うっさいわね。元々この博麗神社は神を祀るために存在してるんじゃないからいいのよ
うっさいわね。元々この博麗神社は神を祀るために存在してるんじゃないからいいのよ,……まぁ話してもいいか。ここはね、幻想郷を覆う博麗大結界の中枢を保管してるのよ
……まぁ話してもいいか。ここはね、幻想郷を覆う博麗大結界の中枢を保管してるのよ,外の世界――つまりあんたがいた世界とこの幻想郷を隔離するための物よ
外の世界――つまりあんたがいた世界とこの幻想郷を隔離するための物よ,……とんでもないことを言うわね。でもそんなことをしたら幻想と現実の境界が曖昧になってどちらの世界も消滅するわ
……とんでもないことを言うわね。でもそんなことをしたら幻想と現実の境界が曖昧になってどちらの世界も消滅するわ,紫にでも頼みなさいな
紫にでも頼みなさいな,楽観的ねぇ。ここの文明は外の世界から半世紀近くは遅れてるけどね
焦る必要はないわ,……何しに来たのよ、紫（ゆかり）
人におばさんというのは感心できませんわね,……この妖怪は八雲 紫。境界を操ることのできる幻想郷最高峰の妖怪よ
八雲　紫です。以後お見知りおきを,……以後？ もう還すんじゃないの？
それは違うわ、霊夢。この迷い人は還せないの,……どういう意味？
それでは、私はこれにて,……さて、これから忙しくなりそうね
……さて、これから忙しくなりそうね,……ハァ、そうね
……ハァ、そうね,んなわけないでしょ。多分これは――
異変だぜ,そ、あんたも動くのね――魔理沙
そうだぜ霊夢。てか異変の専門家が三日も放置なんていいのか？,大丈夫、問題ないわ。それにこの三日は見極めよ
そうか。相変わらずのぐーたら巫女具合だな,……言うわね。まぁいいわ。今日の酉の刻に出発するわ
そうか。で、そこの話に置いてかれてるやつは誰だ？ 霊夢のコレか？,違うわよ。なんの因果か、二,三年は元の世界に戻れない哀れな人間よ
で、霊夢。球磨川はどうするんだ？,勿論置いていくわよ
勿論置いていくわよ,駄目よ。あんたがいくら強いとはいえ、飛べないなら役には立たないわ
駄目よ。あんたがいくら強いとはいえ、飛べないなら役には立たないわ,駄目
駄目,殺すわよ
いいじゃん霊夢。連れてってやろうぜ,……魔理沙の箒に捕まってもらうわよ
オーケーだぜ,……囮にできそうならするわよ
……囮にできそうならするわよ,殴るわよ
ははは。ところで霊夢。どこに向かってるんだ？,……紅魔館よ。多分これは吸血鬼の仕業ね
……紅魔館よ。多分これは吸血鬼の仕業ね,何よ
ちょっ、落ちて行ったぞ！？,大丈夫よ。あいつ死なないから
